global_index,scene_id,scene_key,crop_group,crop_name,region_group,region_name,date,region_code,field_code,image_index,height,width,bands,band_order,blue_tif,green_tif,red_tif,rededge_tif,nir_tif,json_path,hr_npy,lr_x2_npy,lr_x3_npy,lr_x4_npy,status
0,scene_000000,220719KW0290009,1,배추,1,강원도,220719,KW,029,0009,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0009.tif,220719KW029G0009.tif,220719KW029R0009.tif,220719KW029E0009.tif,220719KW029N0009.tif,220719KW029B0009.json,HR_npy/scene_000000_1배추_1강원도_HR.npy,LR_x2_npy/scene_000000_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000000_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000000_1배추_1강원도_LR_x4.npy,success
1,scene_000001,220719KW0290010,1,배추,1,강원도,220719,KW,029,0010,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0010.tif,220719KW029G0010.tif,220719KW029R0010.tif,220719KW029E0010.tif,220719KW029N0010.tif,220719KW029B0010.json,HR_npy/scene_000001_1배추_1강원도_HR.npy,LR_x2_npy/scene_000001_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000001_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000001_1배추_1강원도_LR_x4.npy,success
2,scene_000002,220719KW0290011,1,배추,1,강원도,220719,KW,029,0011,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0011.tif,220719KW029G0011.tif,220719KW029R0011.tif,220719KW029E0011.tif,220719KW029N0011.tif,220719KW029B0011.json,HR_npy/scene_000002_1배추_1강원도_HR.npy,LR_x2_npy/scene_000002_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000002_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000002_1배추_1강원도_LR_x4.npy,success
3,scene_000003,220719KW0290024,1,배추,1,강원도,220719,KW,029,0024,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0024.tif,220719KW029G0024.tif,220719KW029R0024.tif,220719KW029E0024.tif,220719KW029N0024.tif,220719KW029B0024.json,HR_npy/scene_000003_1배추_1강원도_HR.npy,LR_x2_npy/scene_000003_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000003_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000003_1배추_1강원도_LR_x4.npy,success
4,scene_000004,220719KW0290025,1,배추,1,강원도,220719,KW,029,0025,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0025.tif,220719KW029G0025.tif,220719KW029R0025.tif,220719KW029E0025.tif,220719KW029N0025.tif,220719KW029B0025.json,HR_npy/scene_000004_1배추_1강원도_HR.npy,LR_x2_npy/scene_000004_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000004_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000004_1배추_1강원도_LR_x4.npy,success
5,scene_000005,220719KW0290026,1,배추,1,강원도,220719,KW,029,0026,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0026.tif,220719KW029G0026.tif,220719KW029R0026.tif,220719KW029E0026.tif,220719KW029N0026.tif,220719KW029B0026.json,HR_npy/scene_000005_1배추_1강원도_HR.npy,LR_x2_npy/scene_000005_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000005_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000005_1배추_1강원도_LR_x4.npy,success
6,scene_000006,220719KW0290027,1,배추,1,강원도,220719,KW,029,0027,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0027.tif,220719KW029G0027.tif,220719KW029R0027.tif,220719KW029E0027.tif,220719KW029N0027.tif,220719KW029B0027.json,HR_npy/scene_000006_1배추_1강원도_HR.npy,LR_x2_npy/scene_000006_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000006_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000006_1배추_1강원도_LR_x4.npy,success
7,scene_000007,220719KW0290028,1,배추,1,강원도,220719,KW,029,0028,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0028.tif,220719KW029G0028.tif,220719KW029R0028.tif,220719KW029E0028.tif,220719KW029N0028.tif,220719KW029B0028.json,HR_npy/scene_000007_1배추_1강원도_HR.npy,LR_x2_npy/scene_000007_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000007_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000007_1배추_1강원도_LR_x4.npy,success
8,scene_000008,220719KW0290029,1,배추,1,강원도,220719,KW,029,0029,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0029.tif,220719KW029G0029.tif,220719KW029R0029.tif,220719KW029E0029.tif,220719KW029N0029.tif,220719KW029B0029.json,HR_npy/scene_000008_1배추_1강원도_HR.npy,LR_x2_npy/scene_000008_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000008_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000008_1배추_1강원도_LR_x4.npy,success
9,scene_000009,220719KW0290030,1,배추,1,강원도,220719,KW,029,0030,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0030.tif,220719KW029G0030.tif,220719KW029R0030.tif,220719KW029E0030.tif,220719KW029N0030.tif,220719KW029B0030.json,HR_npy/scene_000009_1배추_1강원도_HR.npy,LR_x2_npy/scene_000009_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000009_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000009_1배추_1강원도_LR_x4.npy,success
